Designator Comment                  Layer    Footprint                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                            
R8         CRCW04020000Z0EDC        TopLayer SMD-0402-JUMPER                42,8500      8,4875       0        "RES SMD 0O 1% 62.5mW 100ppm/°C 0402"                                                                                                  
R9         CRCW04020000Z0EDC        TopLayer SMD-0402-JUMPER                43,9000      8,5000       0        "RES SMD 0O 1% 62.5mW 100ppm/°C 0402"                                                                                                  
R4         ERJ-2RKF2201X            TopLayer SMD-0402-RES                   42,8500      10,0875      180      "RES SMD 2.2kO 1% 100mW 100PPM 0402"                                                                                                   
R5         ERJ-2RKF2201X            TopLayer SMD-0402-RES                   43,9000      10,1000      180      "RES SMD 2.2kO 1% 100mW 100PPM 0402"                                                                                                   
R7         CRCW04020000Z0EDC        TopLayer SMD-0402-JUMPER                44,9000      6,8000       180      "RES SMD 0O 1% 62.5mW 100ppm/°C 0402"                                                                                                  
R6         CRCW04020000Z0EDC        TopLayer SMD-0402-JUMPER                37,5000      7,2250       180      "RES SMD 0O 1% 62.5mW 100ppm/°C 0402"                                                                                                  
X7         B5B-XH-AM(LF)(SN)        TopLayer B5B-XH-AM(LF)(SN)              92,1150      35,6870      180      "Header THT Male 5 Pin 1 Row 2.50mm Pitch Vertical tin Plated"                                                                         
U3         ULQ2003D1013TR           TopLayer SOIC-16N                       92,2250      27,5000      90       "Darlington Transistors Seven Darlington array"                                                                                        
R3         CRCW040210K0FKED         TopLayer SMD-0402-RES                   12,0000      32,0000      180      "RES SMD 10kO 1% 62.5mW 100PPM 0402"                                                                                                   
R2         CRCW040210K0FKED         TopLayer SMD-0402-RES                   13,0810      32,0040      180      "RES SMD 10kO 1% 62.5mW 100PPM 0402"                                                                                                   
R1         ERJ-2RKF1001X            TopLayer SMD-0402-RES                   18,4250      10,5750      180      "RES SMT 1kO 1% 100mW 100ppm/°C 0402"                                                                                                  
D1         150040GS73240            TopLayer SMD-0402-LED-0.4H              18,4000      8,7000       90       "LED SMT Green Chip Waterclear 3.2V 20mA 0402"                                                                                         
C5         CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   15,7499      8,4999       180      "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
C4         C0402C104K3RACTU         TopLayer SMD-0402-CAP                   16,0000      5,8000       270      "CAP CER 100nF 10% 25V X7R 0402"                                                                                                       
C3         GRM155C71A105KE11D       TopLayer SMD-0402-CAP                   14,2240      32,0040      180      "CAP CER 1uF 10% 10V X7S 0402"                                                                                                         
C10        CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   102,0001     28,0001      0        "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
X4         B5B-PH-K-S(LF)(SN)       TopLayer B5B-PH-K-S(LF)(SN)-Footprint-1 113,1570     20,9550      90       "JST (JAPAN SOLDERLESS TERMINALS) - B5B-PH-K-S(LF)(SN) - Pin Header, Wire-to-Board, 2 mm, 1 Rows, 5 Contacts, Through Hole, PH Series" 
X3         B8B-PH-K-S(LF)(SN)       TopLayer B8B-PH-K-S(LF)(SN)-Footprint-1 23,7970      3,5560       0        "JST (JAPAN SOLDERLESS TERMINALS) - B8B-PH-K-S(LF)(SN) - Pin Header, Wire-to-Board, 2 mm, 1 Rows, 8 Contacts, Through Hole, PH Series" 
U1         ESP32-WROOM-32E          TopLayer ESP32-WROOM-32E                17,0450      21,0820      90       "WiFi (802.11) & Bluetooth (v4.2) Module, SMD, 3.3V, Embedded Antenna"                                                                 
S2         "PTS526 SMG15 SMTR2 LFS" TopLayer PTS526_G_GND                   26,8000      34,8000      180      "Tactile Switch 50mA 12VDC, 5.2x5.2mm, 1.5mm H"                                                                                        
S1         "PTS526 SMG15 SMTR2 LFS" TopLayer PTS526_G_GND                   19,0000      34,8000      180      "Tactile Switch 50mA 12VDC, 5.2x5.2mm, 1.5mm H"                                                                                        
C2         C0402C104K3RACTU         TopLayer SMD-0402-CAP                   8,8000       10,9000      270      "CAP CER 100nF 10% 25V X7R 0402"                                                                                                       
C1         CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   12,1999      10,1001      90       "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
